,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
500024422,28000,2,4,2,34,-1,-1,-1,-1,-1,-1,0,0,1285.94,1297.95,1191.43,1179.2,NULL,29262.12,1298,1192,1180,1152,0
500024355,35000,1,4,2,50,-1,-1,-1,-1,-1,-1,16.83,472.22,16.82,85.69,83.44,56.19,19943,17,1585,85,60,142,0
500024662,20000,1,4,2,34,-1,-1,-1,-1,-1,-1,0,0,829.69,859.5,868.69,880.26,18714.25,1246.11,859.5,868.69,880.26,865.76,0
500024925,20000,2,4,2,25,-1,-1,-1,-1,-1,-1,0,0,754.87,784.38,794,813.16,NULL,16978.57,830,820,820,900,0
500024882,10000,1,4,2,40,-1,-1,-1,-1,-1,-1,0,0,443.62,444.83,449.44,450.35,NULL,10181.56,445,450,451,436.14,0
500025373,28000,1,4,1,34,-1,-1,-1,-1,-1,-1,25.67,1313.76,1313.75,1329.39,1300.96,1313.42,29308.74,1314,1330,1301,1313.42,1279,0
500025493,35000,1,4,1,53,1,-1,-1,-1,-1,-1,245.62,165.18,1404.52,1457.31,1350.17,1202.11,166,31876.71,1458,1350.2,1203,1200,0
500039616,14000,1,4,2,28,-1,-1,-1,-1,-1,-1,0,521.15,533.03,551.85,557.65,570.45,11113.58,534,552,558,571,570,0
500040002,35000,2,4,2,41,-1,-1,-1,-1,-1,-1,0,1494.88,1499.92,1550.39,1571.02,1611.33,35633.87,1500,1551,1572,1612,1533,0
500053032,21750,1,4,2,35,-1,-1,-1,-1,-1,-1,0,933.41,896.14,840.67,849.76,869.82,20789.67,897,840.7,850,870,1360,0
500053345,21000,1,4,2,31,-1,-1,-1,-1,-1,-1,96.75,585.16,924.09,0,83.63,627.44,13080.3,10000,1000,680,3705.94,12000,0
500053324,14000,1,4,1,29,-1,-1,-1,-1,-1,-1,0,672.93,708.91,659.02,620.23,634.32,13973.54,710,660,620.23,634.32,632.07,0
500053525,35000,1,4,2,37,-1,-1,-1,-1,-1,-1,0,1617.18,1621.6,1642.31,1610.38,1615.95,49800,1630,1643,1615,1620,1510,0
500053673,14000,2,4,2,20,-1,-1,-1,-1,-1,-1,0,687.25,630.75,635.18,641.54,651.69,14333.85,631,636,642,652,638,0
500066942,5000,1,4,2,49,-1,-1,-1,-1,-1,-1,0,79,112.74,152.19,190.93,226.78,809.64,1000,1000,1000,1000,900,0
500066892,10000,2,4,2,32,-1,-1,-1,-1,-1,-1,0,448.66,460.54,477.08,481.74,310.58,9374.15,500,480,482,400,NULL,0
500067712,14000,1,4,2,30,-1,-1,1,-1,-1,-1,0,0,750.35,392.77,0,51.11,14000,14752,NULL,NULL,14052,12600,0
500067664,3000,2,4,2,39,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0
500080767,3000,2,4,2,31,-1,-1,-1,-1,-1,NULL,0,63.32,57.88,47.44,0,NULL,265,58,48,NULL,NULL,NULL,0
500080721,35000,2,4,2,31,-1,-1,-1,-1,-1,NULL,0,1659.76,1577.96,944.82,0,NULL,35742.2,1578,945,NULL,NULL,NULL,0
500080672,1400,1,4,2,28,-1,-1,-1,-1,-1,NULL,16.49,16.06,16.53,0,0,NULL,16.1,17,NULL,NULL,NULL,NULL,0
500080667,6000,2,4,2,45,-1,-1,-1,-1,-1,NULL,54.48,50.6,49.88,44.17,0,NULL,51,50,45,NULL,NULL,NULL,0
500080527,3500,2,4,1,69,-1,-1,-1,-1,-1,NULL,196.46,0,138.9,15.82,0,NULL,3500,239,3516,3500,NULL,NULL,0
500080481,2500,2,4,2,26,-1,-1,-1,-1,-1,NULL,0,0,67.46,67.73,0,NULL,NULL,67.46,68,NULL,NULL,NULL,0
500080452,20000,2,4,2,35,-1,-1,-1,-1,-1,NULL,70.13,116.52,453.07,522.87,0,NULL,759.92,7154,12523,500,NULL,NULL,0
500080993,14000,2,4,2,46,-1,-1,-1,-1,-1,NULL,16.22,61.25,16.12,15.73,0,NULL,7102.84,17,7044.17,7015.26,NULL,NULL,0
500080962,25000,2,4,2,24,-1,-1,-1,-1,-1,NULL,75.59,0,0,0,0,NULL,NULL,71.42,71.42,44.17,NULL,NULL,0
500080952,8000,2,4,2,31,-1,-1,-1,-1,-1,NULL,0,44.84,16.91,35,0,NULL,324.01,60,800,NULL,NULL,NULL,0
500080918,10000,2,4,2,33,-1,-1,-1,-1,-1,NULL,0,0,0,15.73,0,NULL,10050,10050,10015.73,10000,NULL,NULL,0
500080892,10000,2,4,2,30,-1,-1,-1,-1,-1,NULL,45.9,45.9,45.91,45.9,0,NULL,45.9,45.91,45.9,NULL,NULL,NULL,0
500081321,13000,2,4,1,56,-1,-1,-1,-1,NULL,NULL,0,0,0,331.67,NULL,NULL,60,60,13332,NULL,NULL,NULL,0
500094922,21000,1,4,3,51,-1,-1,-1,NULL,NULL,NULL,71.25,16.3,0,NULL,NULL,NULL,67.06,21000,NULL,NULL,NULL,NULL,0
500094791,10000,1,4,2,29,-1,-1,-1,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,10000,NULL,NULL,NULL,NULL,0
500094732,35000,1,4,2,34,-1,-1,-1,NULL,NULL,NULL,66.37,16.45,0,NULL,NULL,NULL,80,35000,NULL,NULL,NULL,NULL,0
500094252,7000,1,4,2,49,-1,-1,-1,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,84.83,516.2,NULL,NULL,NULL,NULL,0
500094212,20000,1,4,2,24,-1,-1,-1,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,20065.97,NULL,NULL,NULL,NULL,0
500094152,21000,1,4,2,26,-1,-1,-1,NULL,NULL,NULL,171.4,442.06,0,NULL,NULL,NULL,15067.1,NULL,NULL,NULL,NULL,NULL,0
500094131,10000,1,4,2,38,-1,-1,-1,NULL,NULL,NULL,0,66.07,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500094087,14000,1,4,2,30,-1,-1,-1,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500094007,14000,1,4,2,54,-1,-1,-1,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
500093942,35000,2,4,1,35,-1,-1,-1,NULL,NULL,NULL,503.54,0,0,NULL,NULL,NULL,25853.54,294.17,NULL,NULL,NULL,NULL,0
